item_id,order_id,product_id,quantity,unit_price,discount_percent
1,3098,62,4,65909.56,27.98
2,2457,252,4,32401.19,22.8
3,1491,495,5,14616.03,26.89
4,3742,399,4,68547.91,13.38
5,2005,454,1,2242.88,33.8
6,1751,331,4,21202.14,8.2
7,2175,394,5,24686.15,9.12
8,873,135,3,43470.35,0.29
9,1963,420,1,35497.6,34.67
10,3244,253,4,52132.78,29.57
11,1334,283,5,39403.48,39.75
12,2346,237,5,43899.38,7.45
13,1523,186,3,11252.91,31.25
14,3414,196,1,13828.98,23.92
15,88,497,2,374.71,38.57
16,1003,431,5,4349.48,14.13
17,738,312,2,25106.19,5.84
18,383,273,-3,9931.2,8.02
19,160,448,4,8842.54,36.34
20,2840,148,2,49660.84,38.43
21,891,301,3,56822.7,24.0
22,3856,425,3,7482.71,27.2
23,3515,71,2,30645.87,7.51
24,1125,186,5,25654.31,20.18
25,1913,303,5,3015.15,3.17
26,220,433,1,21337.7,34.1
27,3039,151,4,35948.04,0.6
28,1154,70,1,45860.33,29.48
29,1181,212,3,41756.83,1.07
30,1480,171,3,35655.0,37.37
31,319,169,5,21106.75,6.1
32,3145,146,4,61574.97,22.98
33,482,128,5,33854.55,29.47
34,1925,308,1,68831.6,34.97
35,2243,433,5,62498.91,35.86
36,1788,61,2,10909.56,16.87
37,1492,135,3,43740.96,31.06
38,3241,76,3,47615.87,31.03
39,1628,104,1,19449.91,37.94
40,2034,405,1,20391.84,14.58
41,1457,63,3,29763.79,17.41
42,2287,497,2,60265.91,37.11
43,1699,381,1,40699.96,149.44
44,123,349,1,33087.71,3.55
45,1316,285,1,26952.53,23.32
46,190,19,5,36717.32,2.74
47,3915,46,5,2483.82,25.85
48,1523,89,5,3203.18,4.32
49,1663,112,1,65839.11,27.11
50,1776,279,5,39302.06,26.63
51,1834,481,1,31568.16,21.13
52,407,451,4,59056.15,9.94
53,554,381,5,53649.85,3.71
54,1782,132,3,32497.54,12.28
55,2289,305,2,54974.96,17.36
56,1341,87,5,21880.34,12.09
57,2157,407,1,39897.21,15.36
58,2881,74,1,13839.5,17.49
59,1144,290,2,56393.49,128.22
60,1099,491,5,62831.6,39.84
61,2709,396,2,45547.36,31.63
62,3993,116,2,32819.57,5.49
63,944,105,5,36100.48,15.47
64,2015,404,5,23179.71,9.78
65,2393,470,3,55387.69,15.98
66,1524,173,4,4837.2,0.09
67,3010,482,4,42175.56,16.97
68,880,223,2,24955.95,16.44
69,3616,262,3,30275.87,6.04
70,1025,295,1,6624.28,9.98
71,3978,163,1,61556.82,25.09
72,2242,96,5,49713.64,7.5
73,2051,251,4,47062.53,39.8
74,2834,472,3,68721.99,3.83
75,3279,309,1,5844.28,1.53
76,1095,171,3,59330.04,14.47
77,1938,149,2,15207.48,3.83
78,3702,375,2,62794.96,0.25
79,2948,456,2,68488.3,23.81
80,446,57,5,19883.76,37.43
81,1831,128,2,56019.52,24.38
82,736,45,4,63317.32,7.02
83,3966,174,-5,10612.91,10.02
84,1872,74,1,31910.42,35.67
85,1287,351,1,64642.73,29.93
86,2253,498,4,12571.48,38.28
87,2859,124,4,25643.53,8.1
88,3260,140,2,37151.3,0.67
89,3007,29,3,62762.46,16.74
